acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,candidatos_brana_por_codigo,candidatos_brana_por_nome,candidatos_easy_dental,candidatos_por_similaridade,codconv,codconv_easy,codigo,codigo_brana_atual,divergencias,especialidade,id,id_brana,justificativa,metodo_match,motivo_bloqueio,nivel_confianca,nome,nome_brana_atual,nome_easy,nroproctab,nroproctab_easy,posicao_relativa,preco,simbolo,status,tipo
apply,"{'codigo': 4160, 'especialidade': '03', 'nome': 'Retratamento de Canal - (Incisivos)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 12}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Retratamento de Canal - (Incisivos)'},,,,,,4160,,4160,['codigo_nro'],,,40640,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Retratamento de Canal - (Incisivos),Retratamento de Canal - (Incisivos),,84,,,,revisar,medio
apply,"{'codigo': 4170, 'especialidade': None, 'nome': 'Retratamento de Canal - (Molares com 4 ou mais condutos)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 12}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Retratamento de Canal - (Molares com 4 ou mais condutos)'},,,,,,4170,,4170,['codigo_nro'],,,40641,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Retratamento de Canal - (Molares com 4 ou mais condutos),Retratamento de Canal - (Molares com 4 ou mais condutos),,85,,,,revisar,medio
apply,"{'codigo': 4180, 'especialidade': None, 'nome': 'Retratamento de Canal - (Molares)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 12}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Retratamento de Canal - (Molares)'},,,,,,4180,,4180,['codigo_nro'],,,40642,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Retratamento de Canal - (Molares),Retratamento de Canal - (Molares),,86,,,,revisar,medio
apply,"{'codigo': 4220, 'especialidade': '03', 'nome': 'Tratamento de Canal - (Incisivos)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 12}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Tratamento de Canal - (Incisivos)'},,,,,,4220,,4220,['codigo_nro'],,,40646,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Tratamento de Canal - (Incisivos),Tratamento de Canal - (Incisivos),,90,,,,revisar,medio
apply,"{'codigo': 4230, 'especialidade': None, 'nome': 'Tratamento de Canal - (Molares com mais de 3 condutos)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 12}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Tratamento de Canal - (Molares com mais de 3 condutos)'},,,,,,4230,,4230,['codigo_nro'],,,40647,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Tratamento de Canal - (Molares com mais de 3 condutos),Tratamento de Canal - (Molares com mais de 3 condutos),,91,,,,revisar,medio
apply,"{'codigo': 4240, 'especialidade': None, 'nome': 'Tratamento de Canal - (Molares)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 12}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Tratamento de Canal - (Molares)'},,,,,,4240,,4240,['codigo_nro'],,,40648,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Tratamento de Canal - (Molares),Tratamento de Canal - (Molares),,92,,,,revisar,medio
apply,"{'codigo': 2090, 'especialidade': '05', 'nome': 'Curativo', 'preco': 0.0, 'simbolo_grafico_legacy_id': 57}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Curativo'},,,,,,2090,,2090,['codigo_nro'],,,40661,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Curativo,Curativo,,105,,,,revisar,medio
apply,"{'codigo': 2110, 'especialidade': '07', 'nome': 'Modelo de Estudo - (Superior e Infeiror)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 41}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Modelo de Estudo - (Superior e Infeiror)'},,,,,,2110,,2110,['codigo_nro'],,,40663,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Modelo de Estudo - (Superior e Infeiror),Modelo de Estudo - (Superior e Infeiror),,107,,,,revisar,medio
apply,"{'codigo': 2120, 'especialidade': '11', 'nome': 'Radiografia Bite-Wing - (inter-proximal)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 11}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Radiografia Bite-Wing - (inter-proximal)'},,,,,,2120,,2120,['codigo_nro'],,,40664,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Radiografia Bite-Wing - (inter-proximal),Radiografia Bite-Wing - (inter-proximal),,108,,,,revisar,medio
apply,"{'codigo': 2130, 'especialidade': '11', 'nome': 'Radiografia Oclusal', 'preco': 0.0, 'simbolo_grafico_legacy_id': 35}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Radiografia Oclusal'},,,,,,2130,,2130,['codigo_nro'],,,40665,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Radiografia Oclusal,Radiografia Oclusal,,109,,,,revisar,medio
