id_brana,codigo_brana,nome_brana,nroproctab,codconv,descricao_easy,nome_normalizado,especialidade_easy,especialidade_brana,simbolo_easy,simbolo_brana,preco_easy,preco_brana,forma_cobranca_easy,forma_cobranca_brana,status_easy,status_brana,observacoes,risco,classificacao_anterior,classificacao_final,acao_futura_permitida,acao_futura_bloqueada
40689,3150,Cirurgia Periodontal a retalho - (por segmento),133,3150,Cirurgia Periodontal a retalho - (por segmento),cirurgia periodontal a retalho - (por segmento),04,04,17,17,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40690,3160,Cunha Distal ou Proximal,134,3160,Cunha Distal ou Proximal,cunha distal ou proximal,01,01,57,57,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40691,3170,Enxerto de Tecido Conjuntivo,135,3170,Enxerto de Tecido Conjuntivo,enxerto de tecido conjuntivo,04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40692,3180,Enxerto Gengival Livre,136,3180,Enxerto Gengival Livre,enxerto gengival livre,04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40694,3200,Enxerto Pediculado - (por elemento),138,3200,Enxerto Pediculado - (por elemento),enxerto pediculado - (por elemento),04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40695,3210,Enxerto por Tracionamento de Vestibulo - (por elemento),139,3210,Enxerto por Tracionamento de Vestibulo - (por elemento),enxerto por tracionamento de vestibulo - (por elemento),04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40696,3220,Enxerto por Tracionamento de Vestibulo - (por segmento),140,3220,Enxerto por Tracionamento de Vestibulo - (por segmento),enxerto por tracionamento de vestibulo - (por segmento),04,04,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40697,3230,Frenectomia labial inferior,141,3230,Frenectomia labial inferior,frenectomia labial inferior,04,04,26,26,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40698,3240,Frenectomia labial superior,142,3240,Frenectomia labial superior,frenectomia labial superior,04,04,26,26,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40701,3270,Frenotomia Lingual,145,3270,Frenotomia Lingual,frenotomia lingual,04,04,26,26,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40702,3280,Gengivectomia ou Gengivoplastia - (por elemento),146,3280,Gengivectomia ou Gengivoplastia - (por elemento),gengivectomia ou gengivoplastia - (por elemento),04,04,16,16,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40703,3290,Gengivectomia ou Gengivoplastia - (por segmento),147,3290,Gengivectomia ou Gengivoplastia - (por segmento),gengivectomia ou gengivoplastia - (por segmento),04,04,16,16,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40704,3300,Gengivectomia palatina / lingual - (por elemento),148,3300,Gengivectomia palatina / lingual - (por elemento),gengivectomia palatina / lingual - (por elemento),04,04,16,16,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40705,3310,Gengivectomia palatina / lingual - (por segmento),149,3310,Gengivectomia palatina / lingual - (por segmento),gengivectomia palatina / lingual - (por segmento),04,04,16,16,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40707,3330,Raspagem Sub-gengival e Curetagem de bolsa - (por segmento),151,3330,Raspagem Sub-gengival e Curetagem de bolsa - (por segmento),raspagem sub-gengival e curetagem de bolsa - (por segmento),04,04,18,18,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40708,3340,Raspagem Supra-gengival - (por segmento),152,3340,Raspagem Supra-gengival - (por segmento),raspagem supra-gengival - (por segmento),04,04,18,18,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40710,3360,Sepultamento Radicular - (por raiz),154,3360,Sepultamento Radicular - (por raiz),sepultamento radicular - (por raiz),04,04,57,57,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40711,3370,Ulectomia,155,3370,Ulectomia,ulectomia,04,04,51,51,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40719,1070,Profilaxia - (Ultrason e Jato de Bicarbonato),163,1070,Profilaxia - (Ultrason e Jato de Bicarbonato),profilaxia - (ultrason e jato de bicarbonato),08,08,8,8,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40720,1080,Teste de fluxo salivar,164,1080,Teste de fluxo salivar,teste de fluxo salivar,08,08,28,28,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40722,8000,Attachment,166,8000,Attachment,attachment,02,02,52,52,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40723,8010,Casquete de moldagem,167,8010,Casquete de moldagem,casquete de moldagem,02,02,56,56,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40725,8030,Coroa em Resina Prensada,169,8030,Coroa em Resina Prensada,coroa em resina prensada,02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40726,8040,Coroa em Resina Sinfony,170,8040,Coroa em Resina Sinfony,coroa em resina sinfony,01,01,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40727,8050,Coroa em Resina sob implante,171,8050,Coroa em Resina sob implante,coroa em resina sob implante,01,01,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40728,8060,Coroa Metal-free - (Cerampress),172,8060,Coroa Metal-free - (Cerampress),coroa metal-free - (cerampress),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40729,8070,Coroa Metal-free - (Inceram),173,8070,Coroa Metal-free - (Inceram),coroa metal-free - (inceram),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40730,8080,Coroa Metal-free - (Procera),174,8080,Coroa Metal-free - (Procera),coroa metal-free - (procera),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40731,8090,Coroa Metal-free - (Zirconia; Sistema CAD/CAM),175,8090,Coroa Metal-free - (Zirconia; Sistema CAD/CAM),coroa metal-free - (zirconia; sistema cad/cam),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40732,8100,Coroa Metal-free sob implante - (Cerampress),176,8100,Coroa Metal-free sob implante - (Cerampress),coroa metal-free sob implante - (cerampress),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
