linha_csv,codigo_csv,nome_csv,especialidade_csv,preco_csv,nroproctab_sql,codconv_sql,descricao_sql,especialidade_sql,preco_sql,codigo_brana,nome_brana,especialidade_brana,preco_brana,codigo_significado,classe_csv_sql,classe_csv_brana,nivel_confian?a_anterior,nivel_confian?a_final,justificativa
60,,Placa de Mills,Ortodontia,"0,00",303,,Placa de Mills,7,0.0,303,Placa de Mills,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
61,,Placa de ocupação lingual,Ortodontia,"0,00",304,,Placa de ocupação lingual,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
62,,Placa de Roberts,Ortodontia,"0,00",305,,Placa de Roberts,7,0.0,305,Placa de Roberts,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
63,,Placa dupla de avanço - Piamant,Ortodontia,"0,00",306,,Placa dupla de avanço - Piamant,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
64,,Placa labial ativa,Ortodontia,"0,00",308,,Placa labial ativa,7,0.0,308,Placa labial ativa,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
65,,Remoção de aparelho ortodontico fixo.,Ortodontia,"350,00",336,,Remoção de aparelho ortodontico fixo.,7,350.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
66,,Placa de Hawley,Ortodontia,"0,00",301,,Placa de Hawley,7,0.0,301,Placa de Hawley,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
67,,Planas Compostas,Ortodontia,"0,00",311,,Planas Compostas,7,0.0,311,Planas Compostas,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
68,,Placa interceptora de hábito,Ortodontia,"0,00",307,,Placa interceptora de hábito,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
69,,Quadri-hélice,Ortodontia,"0,00",313,,Quadri-hélice,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
